index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,hallux,toes,met1,met3,met5,arch,heelL,heelR
251,[0.44054883],[154.35968994],[9.56278271],[34.85382501],[34.90602292],[0.00372842],[0.14990234],[1611.60009766],[1189.47509766],[4085],[4090],[4094],[4092],[4090],[4092],[4094],[3814]
252,[156.60074268],[154.50334717],[9.23715967],[0.03834949],[0.09640635],[34.90335976],[0.14990234],[1611.60009766],[1189.47509766],[4095],[4092],[4088],[4092],[4091],[4089],[4085],[3808]
253,[156.39004541],[154.68531299],[8.98815381],[34.85222712],[34.86287975],[34.89750082],[0.14990234],[1573.22509766],[1227.85009766],[4087],[4092],[4095],[4091],[4094],[4092],[4095],[3808]
254,[0.34477734],[154.32616992],[9.51489697],[34.79523552],[34.87299975],[0.01864211],[0.14990234],[1611.60009766],[1496.47509766],[4093],[4092],[4092],[4086],[4090],[4091],[4084],[3807]
255,[156.7635542],[154.56081006],[9.5292627],[34.82026921],[0.07989477],[0.04740423],[0.14990234],[1611.60009766],[1496.47509766],[4087],[4091],[4088],[4090],[4092],[4087],[4088],[3810]
256,[0.45491455],[154.58475293],[9.35687402],[34.70202496],[0.17789901],[0.06072002],[0.14990234],[1803.47509766],[1381.35009766],[4091],[4094],[4087],[4095],[4090],[4087],[4089],[3820]
257,[156.11230811],[154.10110693],[9.29462256],[34.7883113],[0.18216006],[0.06551371],[0.14990234],[1841.85009766],[1151.10009766],[4093],[4095],[4089],[4090],[4087],[4094],[4084],[3815]
258,[156.77791992],[154.86727881],[9.44785693],[0.00372842],[34.70468812],[0.09267793],[0.14990234],[1688.35009766],[1266.22509766],[4090],[4090],[4092],[4090],[4092],[4092],[4083],[3816]
259,[0.1676001],[155.16895898],[9.66813135],[34.85808606],[0.07563371],[0.09534109],[0.14990234],[1688.35009766],[1266.22509766],[4091],[4091],[4088],[4089],[4089],[4089],[4088],[3816]
260,[156.29427393],[154.54165576],[9.27067969],[0.13209268],[34.81600815],[0.11984215],[0.14990234],[1841.85009766],[1151.10009766],[4088],[4092],[4091],[4088],[4089],[4086],[4087],[3822]
261,[156.74918848],[154.42672998],[9.46701123],[0.20506323],[34.73877655],[0.09587372],[0.14990234],[1726.72509766],[1151.10009766],[4091],[4091],[4087],[4089],[4094],[4092],[4087],[3867]
262,[156.87369141],[153.5695752],[8.72478223],[34.87459765],[34.87619554],[0.06125265],[0.14990234],[1726.72509766],[1151.10009766],[4086],[4095],[4088],[4095],[4085],[4093],[4088],[3895]
263,[0.11492578],[153.65098096],[9.14138818],[0.09161266],[34.90602292],[0.0436758],[0.14990234],[1803.47509766],[1381.35009766],[4093],[4089],[4088],[4090],[4093],[4094],[4085],[3887]
264,[0.1292915],[154.72362158],[9.37602832],[0.01118527],[0.04420844],[0.01491369],[0.14990234],[1803.47509766],[1381.35009766],[4094],[4093],[4090],[4092],[4090],[4089],[4092],[3885]
265,[156.65341699],[154.1633584],[9.25631396],[34.86660817],[0.03142527],[0.01491369],[0.14990234],[1880.22509766],[1496.47509766],[4091],[4089],[4087],[4089],[4090],[4094],[4085],[3886]
266,[156.85932568],[154.35968994],[9.32814258],[0.07669897],[34.88738081],[34.90549029],[0.14990234],[1880.22509766],[1496.47509766],[4087],[4088],[4087],[4091],[4091],[4086],[4091],[3887]
267,[0.03830859],[154.46982715],[9.27546826],[0.04900212],[0.0117179],[34.87992397],[0.14990234],[1803.47509766],[882.47509766],[4093],[4091],[4088],[4089],[4089],[4087],[4086],[3890]
268,[156.70609131],[154.34053564],[9.27067969],[0.06657897],[0.03036001],[34.85009659],[0.14990234],[1649.97509766],[1342.97509766],[4094],[4095],[4094],[4094],[4087],[4092],[4086],[3898]
269,[156.85453711],[154.53686719],[9.23237109],[0.17683375],[34.89164187],[34.80748605],[0.14990234],[1649.97509766],[1342.97509766],[4087],[4094],[4087],[4089],[4091],[4091],[4085],[3887]
270,[0.08140576],[154.54165576],[9.59630273],[0.15393058],[34.89909871],[34.81281236],[0.14990234],[1995.35009766],[1074.35009766],[4092],[4095],[4086],[4087],[4089],[4089],[4085],[3888]
271,[156.80186279],[154.35968994],[9.29941113],[0.16671374],[0.05645897],[34.79257236],[0.14990234],[1611.60009766],[1381.35009766],[4091],[4094],[4087],[4090],[4086],[4095],[4082],[3888]
272,[0.52674316],[153.90956396],[9.44306836],[0.30786116],[0.26631588],[34.79523552],[0.14990234],[1611.60009766],[1381.35009766],[4092],[4089],[4090],[4092],[4093],[4088],[4087],[3871]
273,[0.39266309],[153.57915234],[9.16533105],[0.4090612],[0.75367395],[34.76167971],[0.14990234],[1458.10009766],[1227.85009766],[4091],[4092],[4090],[4085],[4087],[4092],[4085],[3823]
274,[155.90639941],[153.51690088],[7.33130713],[34.84477027],[0.91080032],[34.74676603],[0.14990234],[1726.72509766],[1227.85009766],[4089],[4089],[4089],[4089],[4089],[4089],[4088],[3886]
275,[155.41317627],[154.70446729],[9.39997119],[34.78564814],[34.87353239],[34.78191972],[0.14990234],[1649.97509766],[1534.85009766],[4087],[4092],[4091],[4091],[4089],[4093],[4088],[3892]
276,[155.50415918],[155.8345708],[10.31458887],[0.01331579],[34.3824459],[34.85382501],[0.14990234],[1649.97509766],[1534.85009766],[4090],[4092],[4093],[4090],[4091],[4091],[4087],[3911]
277,[0.11492578],[154.34053564],[9.5101084],[34.55981227],[34.36646694],[0.04953475],[0.14990234],[1688.35009766],[1189.47509766],[4094],[4095],[4092],[4095],[4089],[4083],[4084],[3941]
278,[0.51716602],[153.61746094],[9.96023438],[34.85222712],[34.53797437],[0.02876212],[0.14990234],[1649.97509766],[1342.97509766],[4094],[4091],[4090],[4087],[4089],[4092],[4085],[3938]
279,[0.55068604],[154.23518701],[9.48137695],[0.03195791],[0.13369057],[34.89909871],[0.14990234],[1649.97509766],[1342.97509766],[4091],[4086],[4085],[4094],[4093],[4095],[4088],[3939]
280,[156.48581689],[154.51771289],[9.807],[0.02237053],[0.19014954],[34.8804566],[0.14990234],[1688.35009766],[1074.35009766],[4084],[4089],[4095],[4090],[4095],[4090],[4090],[3941]
281,[156.84017139],[155.28867334],[9.33293115],[0.08948214],[34.87619554],[34.8788587],[0.14990234],[1803.47509766],[882.47509766],[4087],[4088],[4094],[4087],[4094],[4090],[4094],[3938]
282,[156.73961133],[154.84812451],[9.39997119],[34.74889655],[34.78405025],[0.00426105],[0.14990234],[1458.10009766],[1342.97509766],[4093],[4090],[4087],[4087],[4091],[4092],[4085],[3944]
283,[0.22027441],[153.87125537],[9.71122852],[0.03142527],[34.80269236],[0.00639158],[0.14990234],[1458.10009766],[1342.97509766],[4095],[4095],[4088],[4093],[4092],[4095],[4089],[3946]
284,[156.82101709],[154.95347314],[9.1940625],[0.00372842],[0.16085479],[34.87513028],[0.14990234],[1419.72509766],[1074.35009766],[4087],[4090],[4088],[4087],[4088],[4090],[4084],[3944]
285,[156.51933691],[154.30701563],[9.48137695],[0.00319579],[0.07084003],[34.89537029],[0.14990234],[2033.72509766],[1342.97509766],[4087],[4093],[4090],[4091],[4088],[4089],[4089],[3942]
286,[156.66778271],[154.64700439],[9.32814258],[0.08522108],[34.83678079],[34.89909871],[0.14990234],[2033.72509766],[1342.97509766],[4087],[4092],[4091],[4089],[4090],[4092],[4085],[3941]
287,[0.05746289],[154.3118042],[9.39039404],[34.84263974],[0.02503369],[34.90122924],[0.14990234],[1918.60009766],[1342.97509766],[4091],[4092],[4091],[4087],[4092],[4086],[4089],[3942]
288,[156.67257129],[154.21124414],[9.27546826],[0.09374319],[0.06231792],[34.89110923],[0.14990234],[1573.22509766],[1342.97509766],[4093],[4089],[4090],[4093],[4090],[4092],[4082],[3945]
289,[156.79228564],[154.9247417],[9.27067969],[0.02503369],[0.02609896],[34.88578292],[0.14990234],[1496.47509766],[1496.47509766],[4093],[4095],[4088],[4086],[4087],[4095],[4089],[3935]
290,[156.70130273],[154.27349561],[9.3425083],[34.86820607],[34.89696818],[0.00319579],[0.14990234],[1496.47509766],[1496.47509766],[4093],[4089],[4088],[4095],[4090],[4095],[4087],[3941]
291,[0.15802295],[154.63742725],[9.26110254],[0.06977476],[0.02929475],[34.90282713],[0.14990234],[1688.35009766],[1266.22509766],[4091],[4094],[4091],[4088],[4092],[4092],[4085],[3941]
292,[156.69172559],[154.51771289],[9.24673682],[34.89164187],[0.04953475],[34.9022945],[0.14990234],[1841.85009766],[1534.85009766],[4087],[4090],[4088],[4087],[4087],[4092],[4090],[3944]
293,[156.61031982],[154.35968994],[9.37123975],[0.02929475],[34.9038924],[34.9038924],[0.14990234],[1841.85009766],[1534.85009766],[4085],[4086],[4087],[4090],[4089],[4092],[4090],[3942]
294,[156.83059424],[154.59433008],[9.323354],[0.00798948],[0.03195791],[34.90442503],[0.14990234],[1726.72509766],[1151.10009766],[4095],[4094],[4092],[4091],[4090],[4093],[4093],[3947]
295,[156.65820557],[154.39799854],[9.42391406],[0.0117179],[0.03888212],[34.89643555],[0.14990234],[1649.97509766],[1342.97509766],[4087],[4090],[4090],[4089],[4094],[4090],[4095],[3968]
296,[156.69651416],[154.49377002],[9.323354],[0.05273055],[34.90602292],[34.89377239],[0.14990234],[1611.60009766],[1189.47509766],[4091],[4086],[4095],[4088],[4089],[4090],[4094],[4086]
297,[156.86890283],[154.52250146],[9.30898828],[34.90602292],[0.01544632],[34.89909871],[0.14990234],[1611.60009766],[1189.47509766],[4095],[4087],[4087],[4091],[4090],[4093],[4087],[4087]
298,[156.68693701],[154.57517578],[9.27067969],[0.04261054],[0.02237053],[34.89537029],[0.14990234],[1841.85009766],[1419.72509766],[4093],[4091],[4092],[4095],[4092],[4094],[4090],[4095]
299,[156.79707422],[154.5895415],[9.18448535],[0.01704422],[0.00958737],[34.89643555],[0.14990234],[1688.35009766],[1189.47509766],[4095],[4095],[4090],[4088],[4089],[4095],[4088],[4086]
300,[156.84495996],[154.50334717],[9.28025684],[34.90495766],[0.02556632],[34.89483766],[0.14990234],[1688.35009766],[1189.47509766],[4095],[4092],[4087],[4087],[4091],[4088],[4088],[4087]
301,[156.75876562],[154.46025],[9.17969678],[0.03994738],[0.01384843],[34.89270713],[0.14990234],[1688.35009766],[1266.22509766],[4086],[4087],[4095],[4086],[4094],[4087],[4092],[4093]
302,[156.73482275],[154.42194141],[9.2132168],[34.89856608],[0.02077264],[34.89856608],[0.14990234],[1496.47509766],[1189.47509766],[4089],[4092],[4088],[4087],[4093],[4090],[4090],[4087]
303,[156.77791992],[154.39799854],[9.28504541],[0.00905474],[0.01278316],[34.88738081],[0.14990234],[1649.97509766],[1726.72509766],[4087],[4094],[4089],[4089],[4090],[4087],[4093],[4090]
304,[156.66299414],[154.61827295],[9.29462256],[0.01225053],[0.01651158],[34.87832607],[0.14990234],[1649.97509766],[1726.72509766],[4095],[4089],[4087],[4095],[4088],[4093],[4093],[4087]
305,[156.72045703],[154.57038721],[9.323354],[34.8905766],[0.01917474],[34.86767344],[0.14990234],[1381.35009766],[1419.72509766],[4092],[4087],[4086],[4095],[4092],[4095],[4079],[4087]
306,[156.72524561],[154.47461572],[9.29941113],[0.00372842],[34.90602292],[34.88418502],[0.14990234],[1726.72509766],[1151.10009766],[4089],[4095],[4091],[4087],[4089],[4092],[4086],[4092]
307,[156.65820557],[154.49377002],[9.31377686],[34.88311976],[0.0218379],[34.88684818],[0.14990234],[1726.72509766],[1151.10009766],[4093],[4095],[4086],[4090],[4090],[4094],[4086],[4095]
308,[156.68693701],[154.41715283],[9.24194824],[34.8671408],[0.0117179],[34.8905766],[0.14990234],[1458.10009766],[1151.10009766],[4091],[4092],[4095],[4091],[4087],[4089],[4087],[4089]
309,[156.82101709],[154.50813574],[9.21800537],[34.87779344],[0.01864211],[34.90335976],[0.14990234],[1419.72509766],[1266.22509766],[4095],[4090],[3994],[4088],[4084],[4090],[4087],[4089]
310,[156.80665137],[154.49855859],[9.29462256],[34.86394501],[0.0234358],[0.00319579],[0.14990234],[1419.72509766],[1266.22509766],[4092],[4090],[3975],[4088],[4090],[4094],[4095],[4090]
311,[156.82580566],[154.48898145],[9.35208545],[34.8671408],[0.01970738],[34.90016397],[0.14990234],[1458.10009766],[959.22509766],[4091],[4088],[3962],[4093],[4091],[4090],[4089],[4088]
312,[156.84017139],[154.40278711],[9.38081689],[34.87246712],[0.03462106],[34.89483766],[0.14990234],[1726.72509766],[1151.10009766],[4090],[4090],[3958],[4086],[4091],[4091],[4087],[4090]
313,[156.61989697],[154.41236426],[9.20842822],[0.0351537],[0.03994738],[34.8453029],[0.14990234],[1688.35009766],[1381.35009766],[4095],[4095],[3952],[4087],[4089],[4095],[4084],[4095]
314,[156.73961133],[154.52729004],[9.26589111],[0.01012],[0.00479369],[34.83198711],[0.14990234],[1688.35009766],[1381.35009766],[4085],[4094],[3953],[4087],[4086],[4087],[4091],[4086]
315,[156.7827085],[154.42672998],[9.30898828],[0.00905474],[0.05060002],[34.83837869],[0.14990234],[1611.60009766],[1573.22509766],[4091],[4094],[3942],[4086],[4091],[4087],[4087],[4093]
316,[156.7443999],[154.61348438],[9.27067969],[34.87353239],[0.04953475],[34.84423764],[0.14990234],[1649.97509766],[1342.97509766],[4094],[4095],[3945],[4085],[4085],[4093],[4084],[4092]
317,[156.84017139],[154.52729004],[9.33771973],[34.8921745],[0.02609896],[34.85169448],[0.14990234],[1649.97509766],[1342.97509766],[4093],[4085],[3950],[4090],[4089],[4091],[4085],[4088]
318,[156.69651416],[154.48898145],[9.25631396],[0.03249054],[0.00639158],[34.86021659],[0.14990234],[1304.60009766],[1381.35009766],[4095],[4087],[3948],[4089],[4086],[4094],[4093],[4090]
319,[156.73003418],[154.65179297],[9.50531982],[0.07084003],[0.0335558],[34.88951134],[0.14990234],[1995.35009766],[1189.47509766],[4093],[4095],[3950],[4095],[4087],[4091],[4090],[4091]
320,[0.00957715],[154.29743848],[9.11744531],[34.86287975],[34.85009659],[0.01757685],[0.14990234],[1496.47509766],[1496.47509766],[4095],[4091],[3956],[4090],[4088],[4095],[4088],[4091]
321,[156.79228564],[154.24476416],[8.77745654],[0.08628635],[0.02290317],[0.06018739],[0.14990234],[1496.47509766],[1496.47509766],[4090],[4095],[4079],[4087],[4090],[4087],[4092],[4086]
322,[156.84495996],[154.4410957],[9.24673682],[0.03036001],[34.90016397],[0.07030739],[0.14990234],[1688.35009766],[997.60009766],[4095],[4094],[4088],[4090],[4090],[4095],[4091],[4094]
323,[0.12450293],[153.8281582],[9.5101084],[0.05326318],[0.137419],[0.13848426],[0.14990234],[1803.47509766],[1573.22509766],[4085],[4089],[4094],[4089],[4090],[4085],[4094],[4090]
324,[156.1314624],[153.43070654],[8.79182227],[0.43942121],[34.86927133],[0.04580633],[0.14990234],[1803.47509766],[1573.22509766],[4087],[4093],[4086],[4084],[4083],[4093],[4093],[4089]
325,[0.40224023],[155.10191895],[11.21484082],[0.30306748],[34.76966919],[0.04420844],[0.14990234],[1419.72509766],[997.60009766],[4088],[4090],[4092],[4095],[4093],[4092],[4095],[4090]
326,[0.11013721],[154.4794043],[8.96421094],[0.05326318],[0.13528847],[34.88684818],[0.14990234],[1611.60009766],[1266.22509766],[4088],[4091],[4084],[4094],[4092],[4094],[4089],[4086]
327,[156.86411426],[154.85770166],[9.29941113],[0.09747161],[0.2162485],[34.86767344],[0.14990234],[1611.60009766],[1189.47509766],[4091],[4091],[4089],[4090],[4095],[4095],[4087],[3946]
328,[156.23681104],[154.82418164],[9.03603955],[34.86767344],[0.1022653],[0.00106526],[0.14990234],[1611.60009766],[1189.47509766],[4087],[4095],[4085],[4090],[4088],[4095],[4088],[3942]
329,[156.34694824],[154.35011279],[9.37602832],[34.86128186],[34.73824392],[0.00319579],[0.14990234],[1381.35009766],[1227.85009766],[4092],[4087],[4089],[4089],[4092],[4087],[4087],[3941]
330,[156.80186279],[154.6086958],[9.15096533],[34.85169448],[34.66261021],[0.00532632],[0.14990234],[1496.47509766],[1573.22509766],[4091],[4091],[4086],[4095],[4094],[4095],[4090],[3940]
331,[0.49322314],[154.19687842],[9.51489697],[0.01757685],[0.14860426],[34.88578292],[0.14990234],[1496.47509766],[1573.22509766],[4087],[4094],[4095],[4087],[4091],[4093],[4085],[3942]
332,[156.41877686],[154.67094727],[9.33293115],[0.09480845],[0.09853688],[34.90495766],[0.14990234],[1496.47509766],[1266.22509766],[4087],[4092],[4092],[4085],[4092],[4092],[4089],[3943]
333,[156.54327979],[154.69010156],[9.2132168],[34.87619554],[34.85435764],[0.00053263],[0.14990234],[1688.35009766],[1381.35009766],[4095],[4086],[4085],[4091],[4091],[4093],[4092],[3938]
334,[0.19154297],[154.09631836],[9.39039404],[34.89004397],[34.83784606],[0.00372842],[0.14990234],[1803.47509766],[1074.35009766],[4087],[4089],[4092],[4088],[4090],[4093],[4090],[3943]
335,[156.55764551],[154.69967871],[9.35687402],[0.06924213],[0.09693898],[34.90335976],[0.14990234],[1803.47509766],[1074.35009766],[4089],[4086],[4085],[4087],[4087],[4090],[4088],[3940]
336,[156.59116553],[154.50813574],[9.28504541],[0.01225053],[0.02024001],[34.90176187],[0.14990234],[1649.97509766],[1611.60009766],[4090],[4090],[4088],[4093],[4090],[4087],[4088],[3941]
337,[156.63905127],[154.35490137],[9.35208545],[0.03728422],[34.87566291],[34.90282713],[0.14990234],[1611.60009766],[1074.35009766],[4091],[4089],[4094],[4085],[4090],[4092],[4094],[3944]
338,[156.90242285],[154.52250146],[9.24673682],[0.02556632],[0.05113265],[34.9022945],[0.14990234],[1611.60009766],[1074.35009766],[4092],[4087],[4089],[4092],[4089],[4091],[4089],[3935]
339,[156.7827085],[154.41715283],[9.30898828],[0.04953475],[0.06551371],[0.00372842],[0.14990234],[1611.60009766],[1266.22509766],[4090],[4094],[4079],[4090],[4092],[4090],[4090],[3935]
340,[156.71566846],[154.53207861],[9.25152539],[0.05645897],[0.06125265],[34.90016397],[0.14990234],[1726.72509766],[1227.85009766],[4092],[4087],[4093],[4087],[4094],[4085],[4095],[3941]
341,[156.74918848],[154.53207861],[9.39997119],[0.01704422],[0.05432844],[34.89483766],[0.14990234],[1726.72509766],[1227.85009766],[4091],[4087],[4087],[4088],[4091],[4087],[4086],[3936]
342,[156.75876562],[154.55123291],[9.3616626],[0.04048001],[0.01012],[34.89963134],[0.14990234],[1649.97509766],[1534.85009766],[4087],[4095],[4088],[4092],[4087],[4092],[4088],[3937]
343,[156.81622852],[154.54165576],[9.28983398],[0.01544632],[0.01384843],[34.89164187],[0.14990234],[1803.47509766],[1381.35009766],[4095],[4095],[4089],[4092],[4088],[4089],[4087],[3933]
344,[156.80665137],[154.35011279],[9.40475977],[0.02609896],[0.04101265],[34.89643555],[0.14990234],[1880.22509766],[1189.47509766],[4089],[4091],[4094],[4090],[4092],[4088],[4095],[3935]
345,[156.84017139],[154.44588428],[9.25152539],[0.03941475],[0.04101265],[34.88897871],[0.14990234],[1880.22509766],[1189.47509766],[4090],[4091],[4089],[4089],[4079],[4088],[4092],[3945]
346,[156.73961133],[154.46025],[9.24194824],[0.01970738],[0.05326318],[34.90069661],[0.14990234],[1496.47509766],[1266.22509766],[4090],[4095],[4087],[4092],[4089],[4095],[4087],[3942]
347,[156.6342627],[154.49377002],[9.31377686],[0.04154528],[0.02982738],[34.89856608],[0.14990234],[1803.47509766],[1496.47509766],[4090],[4087],[4087],[4094],[4092],[4091],[4088],[3948]
348,[156.7635542],[154.48419287],[9.28025684],[0.0234358],[0.01917474],[34.89483766],[0.14990234],[1803.47509766],[1496.47509766],[4093],[4092],[4088],[4092],[4089],[4085],[4080],[3942]
349,[156.84974854],[154.53207861],[9.30898828],[0.02663159],[0.00319579],[0.00213053],[0.14990234],[1688.35009766],[1189.47509766],[4095],[4094],[4089],[4095],[4092],[4095],[4082],[3940]
350,[156.67735986],[154.45067285],[9.27546826],[0.02663159],[0.02290317],[34.89803345],[0.14990234],[2072.10009766],[1381.35009766],[4092],[4087],[4089],[4092],[4087],[4092],[4084],[3946]
351,[156.80665137],[154.43630713],[9.29462256],[0.01864211],[0.02716422],[34.90335976],[0.14990234],[1726.72509766],[1151.10009766],[4093],[4090],[4083],[4085],[4087],[4092],[4083],[3936]
352,[156.79228564],[154.45067285],[9.38081689],[0.02822948],[0.01651158],[34.9022945],[0.14990234],[1726.72509766],[1151.10009766],[4090],[4090],[4091],[4090],[4091],[4086],[4087],[3937]
353,[156.74918848],[154.49855859],[9.31377686],[0.00798948],[0.01651158],[34.89963134],[0.14990234],[1458.10009766],[1419.72509766],[4092],[4088],[4089],[4090],[4095],[4087],[4089],[3935]
354,[156.7443999],[154.61348438],[9.27546826],[34.9038924],[0.01331579],[34.9038924],[0.14990234],[1688.35009766],[1074.35009766],[4089],[4091],[4089],[4094],[4092],[4094],[4082],[3938]
355,[156.70609131],[154.53686719],[9.33293115],[0.00479369],[0.01225053],[0.00639158],[0.14990234],[1688.35009766],[1074.35009766],[4090],[4090],[4095],[4092],[4095],[4091],[4094],[3899]
356,[156.73003418],[154.61827295],[9.18448535],[34.88791344],[34.89696818],[0.01278316],[0.14990234],[1995.35009766],[1573.22509766],[4086],[4088],[4094],[4086],[4086],[4087],[4083],[3893]
357,[156.58637695],[154.44588428],[9.323354],[34.86394501],[34.83571553],[34.88152186],[0.14990234],[1726.72509766],[1227.85009766],[4093],[4094],[4092],[4092],[4093],[4087],[4083],[3887]
358,[156.61989697],[154.67094727],[9.18448535],[34.81600815],[34.77179972],[34.89750082],[0.14990234],[1726.72509766],[1419.72509766],[4094],[4095],[4088],[4095],[4086],[4095],[4085],[3894]
359,[0.62730322],[154.33574707],[9.62024561],[34.85062922],[0.01704422],[34.90442503],[0.14990234],[1726.72509766],[1419.72509766],[4090],[4091],[4092],[4087],[4092],[4087],[4093],[3821]
360,[156.36610254],[154.78587305],[9.00730811],[34.84743343],[34.8788587],[0.01757685],[0.14990234],[1803.47509766],[1074.35009766],[4086],[4090],[4085],[4095],[4093],[4087],[4093],[3820]
361,[0.56984033],[154.6086958],[9.49574268],[34.73877655],[34.90335976],[0.06657897],[0.14990234],[1841.85009766],[1726.72509766],[4087],[4085],[4095],[4092],[4095],[4087],[4091],[3805]
362,[156.68214844],[154.63742725],[9.39518262],[34.72812391],[0.14434321],[0.1006674],[0.14990234],[1841.85009766],[1726.72509766],[4091],[4091],[4083],[4089],[4089],[4091],[4085],[3818]
363,[156.39483398],[155.43233057],[9.65376563],[34.88258713],[0.00532632],[0.13102741],[0.14990234],[1841.85009766],[1419.72509766],[4091],[4089],[4086],[4088],[4088],[4094],[4086],[3819]
364,[0.0191543],[154.83375879],[8.75830225],[34.81014921],[0.01864211],[0.16990953],[0.14990234],[1649.97509766],[1342.97509766],[4095],[4094],[4093],[4095],[4085],[4091],[4082],[3896]
365,[156.84495996],[153.62224951],[8.84928516],[0.18855165],[34.86607554],[0.16511585],[0.14990234],[1803.47509766],[1381.35009766],[4087],[4092],[4091],[4088],[4091],[4089],[4089],[3886]
366,[156.53370264],[153.29183789],[8.55718213],[0.13315794],[34.89110923],[0.14061479],[0.14990234],[1803.47509766],[1381.35009766],[4087],[4087],[4093],[4083],[4091],[4090],[4079],[3890]
367,[156.88326855],[153.5504209],[8.46141064],[34.86234712],[34.74197234],[0.11717899],[0.14990234],[1880.22509766],[1074.35009766],[4095],[4094],[4087],[4092],[4093],[4091],[4088],[3903]
368,[0.31125732],[153.70844385],[9.25152539],[0.09640635],[0.00213053],[0.03568633],[0.14990234],[1880.22509766],[1074.35009766],[4090],[4092],[4087],[4093],[4091],[4088],[4093],[3892]
369,[0.1292915],[154.4410957],[9.12223389],[34.85275975],[0.10865688],[34.9022945],[0.14990234],[1880.22509766],[1074.35009766],[4087],[4091],[4086],[4087],[4085],[4091],[4084],[3892]
370,[156.41877686],[154.38363281],[9.07434814],[34.88471765],[0.06391581],[0.00798948],[0.14990234],[1688.35009766],[1189.47509766],[4095],[4095],[4087],[4095],[4092],[4091],[4082],[3897]
371,[0.05746289],[154.36926709],[9.05998242],[0.08948214],[34.85489027],[34.88738081],[0.14990234],[1726.72509766],[1419.72509766],[4095],[4088],[4088],[4092],[4083],[4095],[4085],[3887]
372,[156.68693701],[154.52250146],[9.61066846],[0.06657897],[0.05113265],[34.84050922],[0.14990234],[2110.47509766],[1151.10009766],[4089],[4091],[4087],[4091],[4087],[4091],[4079],[3889]
373,[156.428354],[154.15378125],[9.05998242],[0.14860426],[34.88791344],[34.80535552],[0.14990234],[2110.47509766],[1151.10009766],[4094],[4086],[4088],[4095],[4094],[4095],[4085],[3901]
374,[0.79969189],[154.34053564],[9.3616626],[0.2482064],[0.00106526],[34.78191972],[0.14990234],[1880.22509766],[1189.47509766],[4086],[4087],[4090],[4089],[4090],[4092],[4088],[3887]
375,[0.4453374],[153.46422656],[9.50531982],[0.23648851],[0.30892643],[34.7329176],[0.14990234],[1880.22509766],[1381.35009766],[4093],[4090],[4092],[4086],[4093],[4090],[4083],[3897]
376,[0.34956592],[153.29183789],[9.58672559],[0.58482968],[0.64075602],[34.69882917],[0.14990234],[1880.22509766],[1381.35009766],[4090],[4088],[4092],[4086],[4095],[4090],[4089],[3896]
377,[155.68133643],[154.29743848],[7.73833594],[0.31478537],[0.51026123],[34.75369024],[0.14990234],[1803.47509766],[1266.22509766],[4091],[4091],[4092],[4088],[4089],[4090],[4085],[3896]
378,[155.47063916],[154.36447852],[8.18367334],[34.42345854],[34.69083969],[34.70255759],[0.14990234],[1649.97509766],[1035.97509766],[4092],[4090],[4090],[4095],[4091],[4092],[4088],[3890]
379,[156.44271973],[155.77231934],[8.80618799],[34.64343546],[34.38883748],[34.81760605],[0.14990234],[2072.10009766],[1496.47509766],[4095],[4092],[4089],[4091],[4086],[4094],[4086],[3905]
380,[156.83059424],[155.65739355],[7.76706738],[34.54756174],[34.25994059],[0.05113265],[0.14990234],[2072.10009766],[1496.47509766],[4088],[4088],[4094],[4090],[4093],[4087],[4087],[3933]
381,[0.99602344],[154.67094727],[8.75830225],[0.10599372],[0.2396843],[0.03249054],[0.14990234],[1688.35009766],[1074.35009766],[4087],[4092],[4090],[4087],[4089],[4092],[4083],[3935]
382,[156.16019385],[154.35968994],[9.01688525],[0.01704422],[34.82985658],[34.89323976],[0.14990234],[1688.35009766],[1266.22509766],[4095],[4087],[4090],[4087],[4090],[4087],[4086],[3947]
383,[0.67997754],[154.37884424],[9.77826855],[34.90442503],[0.02503369],[34.88471765],[0.14990234],[1688.35009766],[1266.22509766],[4085],[4089],[4092],[4085],[4095],[4090],[4088],[3942]
384,[156.18892529],[154.6086958],[9.20842822],[0.0671116],[0.09001477],[34.89483766],[0.14990234],[1918.60009766],[1419.72509766],[4085],[4092],[4087],[4086],[4090],[4091],[4092],[3941]
385,[0.02873145],[154.51771289],[9.15575391],[0.00532632],[34.81654079],[34.89909871],[0.14990234],[1726.72509766],[1151.10009766],[4095],[4091],[4093],[4087],[4088],[4087],[4088],[3939]
386,[156.53370264],[154.3118042],[9.28983398],[0.04740423],[0.08468845],[34.89803345],[0.14990234],[1726.72509766],[1151.10009766],[4087],[4088],[4087],[4091],[4095],[4093],[4094],[3937]
387,[0.06704004],[154.68531299],[9.21800537],[0.04101265],[34.84956396],[34.9038924],[0.14990234],[1803.47509766],[1381.35009766],[4095],[4089],[4087],[4090],[4084],[4090],[4086],[3935]
388,[0.03830859],[154.43630713],[9.35687402],[34.9038924],[0.08681898],[34.90069661],[0.14990234],[1496.47509766],[997.60009766],[4092],[4088],[4095],[4088],[4094],[4092],[4095],[3940]
389,[0.00478857],[154.52250146],[9.28025684],[0.04474107],[34.8586187],[34.89909871],[0.14990234],[1573.22509766],[1342.97509766],[4090],[4088],[4090],[4092],[4089],[4087],[4083],[3939]
